STT,Tên rác,Phân loại,Nguồn gốc sinh vật (1/0),Vệ sinh/Y tế (1/0),Chất liệu nguyên bản (1/0),Sạch sẽ (1/0),Độ ẩm (0-100),Độ ướt (0-100)
1,Vỏ chuối chín,Hữu cơ,1,0,0,0,"82,4","15,7"
2,Chai nhựa PET 500ml sạch,Tái chế,0,0,1,1,"4,2","71,3"
3,Cốc trà sữa còn nước và trân châu,Vô cơ,0,0,1,0,"78,6","85,2"
4,Khẩu trang y tế dùng rồi,Vô cơ,0,1,0,0,"28,4","32,1"
5,Giấy báo cũ khô,Tái chế,1,0,1,1,"12,7","22,4"
6,Lon nước ngọt nhôm sạch,Tái chế,0,0,1,1,"3,1","88,9"
7,Vỏ cam quýt,Hữu cơ,1,0,0,0,"72,8","28,4"
8,Hộp xốp dính dầu mỡ,Vô cơ,0,0,0,0,"42,6","12,7"
9,Khăn giấy ướt dùng rồi,Vô cơ,1,1,0,0,"88,3","14,2"
10,Lõi ngô sau khi ăn,Hữu cơ,1,0,0,0,"58,1","62,4"
11,Chai thủy tinh nước mắm sạch,Tái chế,0,0,1,1,"4,4","97,8"
12,Túi nilon đựng thực phẩm bẩn,Vô cơ,0,0,0,0,"48,9","8,2"
13,Xương gà thừa,Hữu cơ,1,0,0,0,"42,3","81,1"
14,Vỏ hộp sữa giấy sạch,Tái chế,1,0,1,1,"18,7","42,3"
15,Bông tẩy trang dùng rồi,Vô cơ,1,1,0,0,"28,8","12,2"
16,Thức ăn thừa (cơm rau),Hữu cơ,1,0,0,0,"92,4","22,6"
17,Đinh sắt gỉ,Vô cơ,0,0,1,0,"8,1","97,7"
18,Túi nilon siêu thị sạch,Tái chế,0,0,0,1,"4,2","8,8"
19,Vỏ trứng gà,Hữu cơ,1,0,0,0,"32,6","42,2"
20,Hộp nhựa định hình dính đồ ăn,Vô cơ,0,0,1,0,"22,4","52,9"
21,Lá cây khô quét sân,Hữu cơ,1,0,0,1,"12,3","32,1"
22,Mảnh sành bát đĩa vỡ,Vô cơ,0,0,1,0,"2,2","93,4"
23,Vỏ dưa hấu,Hữu cơ,1,0,0,0,"88,1","52,7"
24,Bìa carton thùng hàng sạch,Tái chế,1,0,1,1,"12,8","52,3"
25,Bút bi hết mực,Vô cơ,0,0,0,0,"3,6","78,1"
26,Xác trà túi lọc,Hữu cơ,1,0,0,0,"90,4","8,3"
27,Vỏ hạt lạc,Hữu cơ,1,0,0,0,"12,1","32,8"
28,Lọ nhựa đựng thuốc sạch,Tái chế,0,0,1,1,"3,9","62,2"
29,Khay xốp đựng thịt siêu thị bẩn,Vô cơ,0,0,0,0,"42,2","18,4"
30,Ống hút nhựa dùng rồi,Vô cơ,0,0,0,0,"12,8","22,1"
31,Bàn chải đánh răng cũ,Vô cơ,0,1,0,0,"18,3","68,5"
32,Vỏ gói mì tôm,Vô cơ,0,0,0,0,"8,7","18,2"
33,Lốp xe đạp hỏng,Vô cơ,0,0,0,0,"8,4","88,8"
34,Nắp chai nhựa sạch,Tái chế,0,0,1,1,"2,6","82,3"
35,Vỏ bưởi xanh,Hữu cơ,1,0,0,0,"85,2","32,9"
36,Mảnh gốm sứ vỡ,Vô cơ,0,0,1,0,"2,1","97,2"
37,Bao xi măng giấy cũ,Vô cơ,0,0,0,0,"22,5","42,1"
38,Chai nhựa tương ớt dở,Vô cơ,0,0,1,0,"58,3","62,4"
39,Giấy vụn văn phòng sạch,Tái chế,1,0,1,1,"3,8","22,2"
40,Quần áo cũ nát,Vô cơ,1,0,0,0,"12,4","32,7"
41,Pin tiểu hỏng,Vô cơ,0,0,1,0,"3,2","92,1"
42,Hộp thiếc đựng bánh sạch,Tái chế,0,0,1,1,"2,9","92,8"
43,Chai rượu thủy tinh sạch,Tái chế,0,0,1,1,"2,4","97,6"
44,Vỏ hạt dưa dẻ,Hữu cơ,1,0,0,0,"18,7","42,2"
45,Túi giấy đựng bánh mì khô,Tái chế,1,0,1,1,"12,1","22,4"
46,Bàn phím máy tính hỏng,Vô cơ,0,0,1,0,"3,3","88,2"
47,Chuột máy tính cũ,Vô cơ,0,0,1,0,"3,8","82,7"
48,Dây điện vụn,Vô cơ,0,0,1,0,"3,1","68,3"
49,Vỏ bao bánh quy nilon,Vô cơ,0,0,0,0,"8,6","18,4"
50,Lon đồ hộp thiếc bẩn,Vô cơ,0,0,1,0,"38,2","88,1"
51,Vỏ sò biển,Vô cơ,1,0,0,0,"8,8","97,4"
52,Bông băng y tế dùng rồi,Vô cơ,0,1,0,0,"58,4","12,2"
53,Lá chuối tươi,Hữu cơ,1,0,0,0,"68,2","28,6"
54,Đầu lọc thuốc lá,Vô cơ,1,0,0,0,"18,1","22,4"
55,Vỏ hộp thuốc tây giấy,Tái chế,1,0,1,1,"8,5","32,8"
56,Bình xịt muỗi hết,Vô cơ,0,0,1,0,"3,7","92,2"
57,Bút chì gỗ vụn,Vô cơ,1,0,1,0,"3,4","58,1"
58,Ly nhựa dùng 1 lần bẩn,Vô cơ,0,0,1,0,"42,9","42,3"
59,Đĩa CD cũ,Vô cơ,0,0,1,0,"2,2","92,7"
60,Vỏ mỹ phẩm nhựa sạch,Tái chế,0,0,1,1,"3,3","68,4"
61,Dép cao su hỏng,Vô cơ,0,0,1,0,"12,1","62,2"
62,Bã cà phê,Hữu cơ,1,0,0,0,"88,7","7,1"
63,Xương cá thừa,Hữu cơ,1,0,0,0,"38,2","72,4"
64,Vỏ hạt hướng dương,Hữu cơ,1,0,0,0,"12,8","38,6"
65,Ốc vít sắt gỉ,Vô cơ,0,0,1,0,"3,4","97,3"
66,Lọ hoa gốm vỡ,Vô cơ,0,0,1,0,"2,1","97,8"
67,Túi nilon đen bẩn,Vô cơ,0,0,0,0,"52,2","7,4"
68,Vỏ lon sữa bột thiếc sạch,Tái chế,0,0,1,1,"3,7","92,1"
69,Sách giáo khoa cũ rách,Tái chế,1,0,1,1,"8,4","52,2"
70,Vỏ dừa khô,Hữu cơ,1,0,0,0,"22,1","92,6"
71,Ống nhựa PVC vụn,Vô cơ,0,0,1,0,"3,8","88,2"
72,Tã giấy em bé dùng rồi,Vô cơ,1,1,0,0,"92,3","22,1"
73,Băng dính đã sử dụng,Vô cơ,0,0,0,0,"12,7","12,4"
74,Dây thun cao su,Vô cơ,0,0,0,0,"3,2","12,1"
75,Vỏ măng tre,Hữu cơ,1,0,0,0,"78,4","42,7"
76,Xương bò thừa,Hữu cơ,1,0,0,0,"38,9","97,2"
77,Chổi nhựa cũ,Vô cơ,0,0,1,0,"8,5","82,3"
78,Khay nhựa trứng sạch,Tái chế,0,0,1,1,"3,1","52,8"
79,Bao tải dứa cũ,Vô cơ,0,0,0,0,"12,4","28,2"
80,Pin dự phòng hỏng,Vô cơ,0,0,1,0,"3,7","92,1"
81,Chai nước suối nhựa nhỏ sạch,Tái chế,0,0,1,1,"3,3","68,4"
82,Giấy ăn đã lau miệng bẩn,Vô cơ,1,0,0,0,"58,8","7,2"
83,Lõi quả dứa,Hữu cơ,1,0,0,0,"82,1","22,4"
84,Cành cây khô mục,Hữu cơ,1,0,0,1,"8,4","72,1"
85,Mảnh gỗ pallet,Vô cơ,1,0,1,0,"12,7","82,2"
86,Thìa nhựa dùng 1 lần,Vô cơ,0,0,1,0,"8,2","58,5"
87,Hộp pizza dính mỡ,Vô cơ,1,0,1,0,"32,4","38,1"
88,Lon bò húc sạch,Tái chế,0,0,1,1,"3,8","88,2"
89,Ắc quy xe máy cũ,Vô cơ,0,0,1,0,"8,1","97,7"
90,Túi trà lọc đã dùng,Hữu cơ,1,0,0,0,"92,3","7,4"
91,Mảnh kính vỡ,Vô cơ,0,0,1,0,"2,1","97,2"
92,Xốp bọc hoa quả,Vô cơ,0,0,0,0,"12,8","12,7"
93,Dây xích sắt gỉ,Vô cơ,0,0,1,0,"8,4","97,8"
94,Lược nhựa cũ,Vô cơ,0,0,1,0,"3,2","78,1"
95,Tuýp kem đánh răng hết,Vô cơ,0,1,0,0,"28,7","52,2"
96,Móc áo nhựa gãy,Vô cơ,0,0,1,0,"3,1","78,4"
97,Vỏ tôm thừa,Hữu cơ,1,0,0,0,"68,8","28,1"
98,Quả bóng tennis hỏng,Vô cơ,0,0,0,0,"8,4","62,2"
99,Cành hoa hồng héo,Hữu cơ,1,0,0,0,"58,3","32,7"
100,Vỏ lon sơn cũ,Vô cơ,0,0,1,0,"12,1","92,4"
101,Khay nhựa bánh mứt sạch,Tái chế,0,0,1,1,"3,3","58,2"
102,Vỏ bao snack nilon bẩn,Vô cơ,0,0,0,0,"42,7","12,4"
103,Bản mạch điện tử cũ,Vô cơ,0,0,1,0,"3,8","88,2"
104,Ống nhựa tưới cây hỏng,Vô cơ,0,0,1,0,"12,1","68,4"
105,Miếng rửa chén cũ,Vô cơ,0,0,0,0,"82,3","12,2"
106,Bật lửa gas hết,Vô cơ,0,0,1,0,"3,7","82,1"
107,Hộp diêm gỗ hết,Vô cơ,1,0,1,0,"8,4","32,2"
108,Lọ sơn móng tay thủy tinh,Vô cơ,0,1,1,0,"12,1","97,8"
109,Giấy gói quà sạch,Tái chế,1,0,1,1,"3,3","28,4"
110,Cuộn chỉ khâu rối,Vô cơ,1,0,0,0,"8,7","12,2"
111,Vỏ bao thuốc lá giấy,Vô cơ,1,0,1,0,"12,4","32,1"
112,Mảnh nhựa đồ chơi vỡ,Vô cơ,0,0,1,0,"3,1","78,3"
113,Nắp lon nhôm sạch,Tái chế,0,0,1,1,"2,4","88,7"
114,Xơ mướp khô,Hữu cơ,1,0,0,1,"12,8","22,2"
115,Thanh gỗ vụn mục,Vô cơ,1,0,1,0,"18,1","82,3"
116,Hộp nhựa tròn đựng thực phẩm sạch,Tái chế,0,0,1,1,"3,7","62,4"
117,Băng vệ sinh đã dùng,Vô cơ,1,1,0,0,"92,2","18,1"
118,Vỏ quả sầu riêng,Hữu cơ,1,0,0,0,"62,4","97,8"
119,Mảnh cao su lốp xe,Vô cơ,0,0,0,0,"12,1","82,2"
120,Bút lông bảng hết mực,Vô cơ,0,0,1,0,"3,3","72,4"
121,Cuống rau muống già,Hữu cơ,1,0,0,0,"78,7","18,1"
122,Vỏ hạt hướng dương,Hữu cơ,1,0,0,0,"12,2","32,4"
123,Chai thủy tinh mắm bẩn,Vô cơ,0,0,1,0,"52,1","97,7"
124,Lọ nhựa đựng vitamin sạch,Tái chế,0,0,1,1,"3,3","72,4"
125,Vỏ hộp bánh quy giấy sạch,Tái chế,1,0,1,1,"8,8","38,2"
126,Dây thừng xơ dừa cũ,Vô cơ,1,0,0,0,"22,1","58,3"
127,Vỏ dưa hấu nhiều nước,Hữu cơ,1,0,0,0,"92,4","42,1"
128,Mảnh gạch vỡ xây dựng,Vô cơ,0,0,0,0,"3,2","97,8"
129,Bao tải nhựa cũ nát,Vô cơ,0,0,0,0,"18,7","22,4"
130,Vỏ chai nước giặt nhựa sạch,Tái chế,0,0,1,1,"3,3","78,1"
131,Tuýp kem dưỡng da nhựa dở,Vô cơ,0,1,1,0,"48,2","52,4"
132,Màng bọc thực phẩm nilon bẩn,Vô cơ,0,0,0,0,"68,8","7,1"
133,Vỏ quả dứa tươi,Hữu cơ,1,0,0,0,"82,4","28,2"
134,Lưới đánh cá cũ nát,Vô cơ,0,0,1,0,"22,1","42,3"
135,Vỏ hạt dẻ cười,Hữu cơ,1,0,0,0,"8,7","52,4"
136,Tờ rơi quảng cáo giấy bóng sạch,Tái chế,1,0,1,1,"3,2","32,1"
137,Vỏ hộp trà thiếc tròn sạch,Tái chế,0,0,1,1,"3,8","92,3"
138,Mút xốp trắng bọc hàng,Vô cơ,0,0,0,0,"8,1","12,2"
139,Chổi tre cũ hỏng,Hữu cơ,1,0,0,0,"22,4","78,1"
140,Vỏ bọc dây điện nhựa,Vô cơ,0,0,1,0,"8,7","62,4"
141,Đầu lọc thuốc lá vỉa hè,Vô cơ,1,0,0,0,"48,2","18,1"
142,Vỏ quả măng cụt,Hữu cơ,1,0,0,0,"62,8","42,2"
143,Xương ống heo thừa,Hữu cơ,1,0,0,0,"38,1","97,7"
144,Bình nhựa đựng nước 20L cũ,Tái chế,0,0,1,1,"8,4","82,1"
145,Túi giấy kraft khô sạch,Tái chế,1,0,1,1,"3,7","28,4"
146,Vỏ hộp mực máy in hết,Vô cơ,0,0,1,0,"12,3","82,2"
147,Khăn mặt cũ rách bẩn,Vô cơ,1,1,0,0,"72,1","12,4"
148,Mảnh vải vụn cotton,Vô cơ,1,0,0,0,"12,8","12,2"
149,Lọ thủy tinh đựng tiêu sạch,Tái chế,0,0,1,1,"2,4","97,8"
150,Vỏ bao mì chính nilon bẩn,Vô cơ,0,0,0,0,"52,1","8,7"
151,Tai nghe điện thoại hỏng,Vô cơ,0,0,1,0,"3,3","48,1"
152,Vỏ chai keo dán sắt hết,Vô cơ,0,0,1,0,"8,8","72,4"
153,Nắp sắt chai bia sạch,Tái chế,0,0,1,1,"2,2","92,1"
154,Vỏ quả mít tươi,Hữu cơ,1,0,0,0,"72,4","88,2"
155,Thước kẻ nhựa gãy,Vô cơ,0,0,1,0,"3,7","78,1"
156,Vỏ chanh sau khi vắt,Hữu cơ,1,0,0,0,"82,1","12,4"
157,Túi nilon trong sạch,Tái chế,0,0,0,1,"3,3","3,2"
158,Lõi quả táo ăn dở,Hữu cơ,1,0,0,0,"78,4","22,1"
159,Vỏ hộp bánh kem giấy dính kem,Vô cơ,1,0,1,0,"62,8","32,4"
160,Ghim bấm sắt gỉ vụn,Vô cơ,0,0,1,0,"3,1","97,7"
161,Vỏ quả lê chín,Hữu cơ,1,0,0,0,"85,3","28,2"
162,Cùi quả nhãn thừa,Hữu cơ,1,0,0,0,"88,7","7,4"
163,Vỏ hạt điều,Hữu cơ,1,0,0,0,"12,1","42,8"
164,Túi vải không dệt cũ,Vô cơ,0,0,0,0,"12,4","18,3"
165,Chai nhựa đựng siro dính đường,Vô cơ,0,0,1,0,"68,2","68,1"
166,Vỏ bao xà phòng nilon,Vô cơ,0,0,0,0,"12,7","12,8"
167,Bát nhựa dùng 1 lần bẩn,Vô cơ,0,0,1,0,"62,3","42,2"
168,Vỏ chai nhựa nước khoáng sạch,Tái chế,0,0,1,1,"3,8","68,4"
169,Dây ruy băng lụa cũ,Vô cơ,1,0,0,0,"8,1","8,5"
170,Vỏ quả chôm chôm tươi,Hữu cơ,1,0,0,0,"82,4","22,1"
171,Mảnh bát đĩa sành vỡ,Vô cơ,0,0,1,0,"2,2","97,8"
172,Vỏ bao tải lúa nhựa,Vô cơ,0,0,0,0,"12,7","32,4"
173,Ống nhựa truyền y tế bẩn,Vô cơ,0,1,1,0,"78,3","28,1"
174,Hộp nhựa đựng tăm sạch,Tái chế,0,0,1,1,"3,8","72,2"
175,Vỏ phấn trang điểm nhựa sạch,Tái chế,0,1,1,1,"3,1","68,8"
176,Khăn giấy ăn bẩn ướt,Vô cơ,1,0,0,0,"82,4","7,3"
177,Vỏ hạt macca,Hữu cơ,1,0,0,0,"8,2","92,1"
178,Kim khâu sắt gỉ hỏng,Vô cơ,0,0,1,0,"3,7","97,8"
179,Vỏ kẹo socola bạc nilon,Vô cơ,0,0,0,0,"12,1","12,4"
180,Chai thủy tinh đựng cồn y tế hết,Vô cơ,0,1,1,0,"12,8","97,2"
181,Mút trang điểm cũ bẩn,Vô cơ,0,1,0,0,"42,2","8,1"
182,Cùi quả mít thừa,Hữu cơ,1,0,0,0,"88,1","22,4"
183,Ống nhựa bảo vệ điện vụn,Vô cơ,0,0,1,0,"8,7","72,8"
184,Hộp sữa chua nhựa dở,Vô cơ,0,0,1,0,"62,4","42,2"
185,Vỏ bao xúc xích nilon bẩn,Vô cơ,0,0,0,0,"52,1","8,8"
186,Lọ nhựa nhỏ mắt hết sạch,Tái chế,0,1,1,1,"3,3","62,1"
187,Vỏ quả vải tươi,Hữu cơ,1,0,0,0,"85,4","18,7"
188,Dây buộc nhựa dẻo cũ,Vô cơ,0,0,0,0,"8,1","12,4"
189,Vỏ bao trà túi lọc giấy bẩn,Vô cơ,1,0,0,0,"42,8","18,3"
190,Khay nhựa siêu thị đựng thịt bẩn,Vô cơ,0,0,1,0,"72,2","52,1"
191,Vỏ hạt hạnh nhân,Hữu cơ,1,0,0,0,"8,4","58,8"
192,Mảnh cao su lót sàn cũ,Vô cơ,0,0,0,0,"12,1","72,3"
193,Lọ tinh dầu thủy tinh hết sạch,Tái chế,0,0,1,1,"3,7","97,4"
194,Vỏ quả hồng xiêm,Hữu cơ,1,0,0,0,"72,2","32,8"
195,Dây cáp mạng hỏng,Vô cơ,0,0,1,0,"3,3","68,1"
196,Vỏ bao khăn giấy nilon sạch,Tái chế,0,0,0,1,"3,8","8,2"
197,Hộp giấy đựng trà khô sạch,Tái chế,1,0,1,1,"8,4","38,7"
198,Vỏ quả na tươi,Hữu cơ,1,0,0,0,"82,1","28,4"
199,Ống nhựa hút bụi hỏng,Vô cơ,0,0,1,0,"12,7","62,2"
200,Lon sữa bột thiếc sạch rỗng,Tái chế,0,0,1,1,"3,2","92,8"
201,Vỏ hạt óc chó,Hữu cơ,1,0,0,0,"8,1","82,3"
202,Mảnh lưới thép gỉ,Vô cơ,0,0,1,0,"8,8","97,7"
203,Vỏ kem nilon bẩn,Vô cơ,0,0,0,0,"58,3","8,1"
204,Lọ nhựa đựng kem dưỡng bẩn,Vô cơ,0,1,1,0,"52,7","58,4"
205,Vỏ quả xoài chín,Hữu cơ,1,0,0,0,"85,2","22,1"
206,Dây kẽm gai vụn,Vô cơ,0,0,1,0,"8,4","97,8"
207,Vỏ gói gia vị nilon bẩn,Vô cơ,0,0,0,0,"42,1","12,7"
208,Hộp giấy mỹ phẩm sạch,Tái chế,1,0,1,1,"8,7","32,2"
209,Vỏ quả thanh long tươi,Hữu cơ,1,0,0,0,"88,3","28,8"
210,Mảnh chậu nhựa vỡ,Vô cơ,0,0,1,0,"12,1","82,4"
211,Vỏ gói mì tôm nilon bẩn,Vô cơ,0,0,0,0,"48,2","12,1"
212,Lọ mực thủy tinh hết dính mực,Vô cơ,0,0,1,0,"42,7","97,2"
213,Vỏ quả bơ chín,Hữu cơ,1,0,0,0,"82,3","42,8"
214,Dây dù buộc hàng cũ,Vô cơ,0,0,0,0,"22,1","32,4"
215,Vỏ bao bột nêm nilon bẩn,Vô cơ,0,0,0,0,"38,8","12,2"
216,Hộp giấy đựng giày sạch,Tái chế,1,0,1,1,"8,2","42,1"
217,Vỏ quả táo chín,Hữu cơ,1,0,0,0,"78,7","28,4"
218,Mảnh bạt nhựa cũ rách,Vô cơ,0,0,0,0,"28,1","38,8"
219,Gói cà phê hòa tan nilon hết,Vô cơ,0,0,0,0,"12,4","12,2"
220,Chai nhựa tương cà bẩn dở,Vô cơ,0,0,1,0,"72,3","68,1"
221,Vỏ quả ổi tươi,Hữu cơ,1,0,0,0,"78,2","42,7"
222,Dây xích chó sắt cũ,Vô cơ,0,0,1,0,"12,1","97,8"
223,Vỏ bao bột giặt nilon bẩn,Vô cơ,0,0,0,0,"42,8","22,1"
224,Hộp giấy thuốc tây nhỏ sạch,Tái chế,1,0,1,1,"8,3","32,4"
225,Vỏ quả lựu tươi,Hữu cơ,1,0,0,0,"78,4","48,2"
226,Mảnh da giày rách cũ,Vô cơ,1,0,0,0,"18,1","52,8"
227,Gói dầu gội dùng 1 lần bẩn,Vô cơ,0,1,0,0,"62,7","12,4"
228,Lọ nước hoa thủy tinh hết sạch,Tái chế,0,0,1,1,"3,2","97,1"
229,Vỏ quả mận tươi,Hữu cơ,1,0,0,0,"82,1","12,8"
230,Dây nhựa buộc hàng cũ,Vô cơ,0,0,0,0,"12,4","28,2"
231,Chai nhựa xả vải dính nước xả,Vô cơ,0,0,1,0,"58,8","78,4"
232,Hộp xà bông giấy kraft sạch,Tái chế,1,0,1,1,"12,2","32,1"
233,Cuống dâu tây,Hữu cơ,1,0,0,0,"72,4","8,7"
234,Mảnh vỏ nhựa máy tính cũ,Vô cơ,0,0,1,0,"8,1","82,3"
235,Vỏ snack nilon lớn bẩn,Vô cơ,0,0,0,0,"42,7","18,8"
236,Lọ nhựa thuốc tẩy hết dính thuốc,Vô cơ,0,0,1,0,"52,2","72,1"
237,Vỏ quả nho xanh,Hữu cơ,1,0,0,0,"85,3","4,2"
238,Dây cáp sạc điện thoại hỏng,Vô cơ,0,0,1,0,"8,4","62,8"
239,Vỏ gói kẹo nilon bẩn,Vô cơ,0,0,0,0,"38,1","12,4"
240,Hộp giấy thực phẩm chức năng sạch,Tái chế,1,0,1,1,"8,7","32,2"
241,Vỏ mướp hương già,Hữu cơ,1,0,0,0,"82,2","28,4"
242,Mảnh kính cửa sổ vỡ,Vô cơ,0,0,1,0,"2,1","97,8"
243,Vỏ nilon bọc tã giấy sạch,Tái chế,0,0,0,1,"3,4","8,1"
244,Lọ thủy tinh mật ong dính mật,Vô cơ,0,0,1,0,"62,8","97,2"
245,Vỏ bí đao già,Hữu cơ,1,0,0,0,"85,1","42,3"
246,Dây cáp USB hỏng,Vô cơ,0,0,1,0,"8,2","58,8"
247,Vỏ bao khăn lạnh nilon bẩn,Vô cơ,0,0,0,0,"62,4","8,1"
248,Hộp giấy linh kiện điện tử sạch,Tái chế,1,0,1,1,"8,7","32,4"
249,Vỏ quả bí đỏ cứng,Hữu cơ,1,0,0,0,"78,1","88,8"
250,Kệ gỗ mục cũ hỏng nặng,Vô cơ,1,0,1,0,"18,3","93,4"
,,,,,,,,
THỐNG KÊ,,,,,,,,
Trung bình,"30,1912",,,,,,,
Trung vị,"12,55",,,,,,,
Mốt,"12,1",,,,,,,
Phạm vi,"90,3",,,,,,,